Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
METHODIST HOSPITAL OF SACRAMENTO,50590,CA,READM-30-AMI-HRRP,,,1.0556,19.3,18.2,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CENTURA HEALTH-ST ANTHONY HOSPITAL,60015,CO,READM-30-AMI-HRRP,191.0,,0.9489,13.4,14.1,23.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CENTURA HEALTH-ST ANTHONY HOSPITAL,60015,CO,READM-30-COPD-HRRP,147.0,,0.8553,16.8,19.6,14.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PARKVIEW MEDICAL CENTER INC,60020,CO,READM-30-AMI-HRRP,261.0,,0.9136,14.0,15.3,32.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ST MARYS  MEDICAL CENTER,60023,CO,READM-30-COPD-HRRP,157.0,,0.9446,16.4,17.4,22.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ST MARYS  MEDICAL CENTER,60023,CO,READM-30-HIP-KNEE-HRRP,,,0.7254,3.0,4.2,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BOULDER COMMUNITY FOOTHILLS HOSPITAL,60027,CO,READM-30-COPD-HRRP,,,0.9115,16.5,18.1,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BOULDER COMMUNITY FOOTHILLS HOSPITAL,60027,CO,READM-30-PN-HRRP,215.0,,0.8712,12.9,14.8,19.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SAINT JOSEPH HOSPITAL,60028,CO,READM-30-HIP-KNEE-HRRP,,,0.9509,3.7,3.9,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SWEDISH MEDICAL CENTER,60034,CO,READM-30-AMI-HRRP,109.0,,0.9869,13.4,13.6,14.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ST ANTHONY SUMMIT MEDICAL CENTER,60118,CO,READM-30-HIP-KNEE-HRRP,,,1.0701,3.4,3.2,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ST FRANCIS HOSPITAL & MEDICAL CENTER,70002,CT,READM-30-AMI-HRRP,604.0,,1.0301,16.8,16.3,103.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SHARON HOSPITAL,70004,CT,READM-30-HIP-KNEE-HRRP,,,0.946,4.3,4.6,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WATERBURY HOSPITAL,70005,CT,READM-30-AMI-HRRP,225.0,,1.1175,18.3,16.4,47.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WATERBURY HOSPITAL,70005,CT,READM-30-PN-HRRP,420.0,,0.9908,17.3,17.5,72.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
STAMFORD HOSPITAL,70006,CT,READM-30-COPD-HRRP,217.0,,1.105,23.0,20.8,57.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LAWRENCE & MEMORIAL HOSPITAL,70007,CT,READM-30-PN-HRRP,522.0,,1.0171,17.0,16.7,90.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SOUTHWEST HEALTHCARE SYSTEM,50701,CA,READM-30-AMI-HRRP,76.0,,1.0161,21.2,20.9,17.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NORTH SUBURBAN MEDICAL CENTER,60065,CO,READM-30-COPD-HRRP,101.0,,0.958,18.8,19.6,16.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NORTH SUBURBAN MEDICAL CENTER,60065,CO,READM-30-HIP-KNEE-HRRP,,,1.0068,5.1,5.1,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
STERLING REGIONAL MEDCENTER,60076,CO,READM-30-HF-HRRP,,,0.8925,17.7,19.8,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"MEDICAL CENTER OF AURORA, THE",60100,CO,READM-30-AMI-HRRP,183.0,,0.96,13.7,14.2,23.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GOOD SAMARITAN MEDICAL CENTER,60116,CO,READM-30-HF-HRRP,,,0.9021,17.9,19.8,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
DELANO REGIONAL MEDICAL CENTER,50608,CA,READM-30-COPD-HRRP,96.0,,1.0727,20.0,18.6,24.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
DELANO REGIONAL MEDICAL CENTER,50608,CA,READM-30-PN-HRRP,119.0,,1.0238,17.2,16.8,22.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
KAISER FOUNDATION HOSP SO SACRAMENTO,50674,CA,READM-30-HF-HRRP,,,1.0109,23.4,23.1,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SAINT LOUISE REGIONAL HOSPITAL,50688,CA,READM-30-HIP-KNEE-HRRP,,,1.0094,4.6,4.5,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
KECK HOSPITAL OF USC,50696,CA,READM-30-PN-HRRP,49.0,,1.0231,19.3,18.8,11.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SAN LEANDRO HOSPITAL,50773,CA,READM-30-PN-HRRP,,,0.9798,17.2,17.6,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LONGMONT UNITED HOSPITAL,60003,CO,READM-30-HIP-KNEE-HRRP,325.0,,0.9057,3.9,4.3,11.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SAN LUIS VALLEY HEALTH,60008,CO,READM-30-HF-HRRP,,,0.9548,19.1,20.0,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
DENVER HEALTH MEDICAL CENTER,60011,CO,READM-30-PN-HRRP,,,0.9748,16.8,17.2,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CALIFORNIA HOSPITAL MEDICAL CENTER LA,50149,CA,READM-30-PN-HRRP,84.0,,1.0626,17.8,16.7,19.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SAINT FRANCIS MEMORIAL HOSPITAL,50152,CA,READM-30-HIP-KNEE-HRRP,,,0.9089,4.1,4.5,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
VENTURA COUNTY MEDICAL CENTER,50159,CA,READM-30-PN-HRRP,81.0,,0.9723,15.8,16.3,11.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,50169,CA,READM-30-AMI-HRRP,338.0,,0.981,18.4,18.7,61.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PRESBYTERIAN INTERCOMMUNITY HOSPITAL,50169,CA,READM-30-HF-HRRP,419.0,,0.9701,22.1,22.8,91.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-COPD-HRRP,289.0,,0.9129,19.2,21.0,49.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SANTA ROSA MEMORIAL HOSPITAL,50174,CA,READM-30-HIP-KNEE-HRRP,784.0,,0.7423,3.5,4.7,22.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,50180,CA,READM-30-AMI-HRRP,167.0,,1.0583,20.3,19.2,37.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GEORGE L MEE MEMORIAL HOSPITAL,50189,CA,READM-30-COPD-HRRP,,,1.0336,16.2,15.7,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ST MARY MEDICAL CENTER,50191,CA,READM-30-AMI-HRRP,85.0,,0.998,19.0,19.0,16.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ADVENTIST MEDICAL CENTER - REEDLEY,50192,CA,READM-30-COPD-HRRP,,,0.9583,15.2,15.8,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WASHINGTON HOSPITAL,50195,CA,READM-30-PN-HRRP,437.0,,1.0091,17.7,17.5,78.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MARTIN MEDICAL CENTER,100044,FL,READM-30-AMI-HRRP,501.0,,1.1597,18.8,16.2,102.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MARTIN MEDICAL CENTER,100044,FL,READM-30-COPD-HRRP,963.0,,0.9872,18.7,18.9,179.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JAY HOSPITAL,100048,FL,READM-30-COPD-HRRP,,,0.9689,19.6,20.3,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PALM SPRINGS GENERAL HOSPITAL,100050,FL,READM-30-HIP-KNEE-HRRP,,,0.9208,5.8,6.3,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WINTER HAVEN HOSPITAL,100052,FL,READM-30-COPD-HRRP,774.0,,1.1464,21.4,18.7,175.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WINTER HAVEN HOSPITAL,100052,FL,READM-30-HF-HRRP,711.0,,1.1265,24.2,21.5,179.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FLORIDA HOSPITAL NORTH PINELLAS,100055,FL,READM-30-COPD-HRRP,171.0,,1.0189,19.1,18.8,34.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MUNROE REGIONAL MEDICAL CENTER,100062,FL,READM-30-AMI-HRRP,732.0,,0.9193,16.3,17.7,115.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MUNROE REGIONAL MEDICAL CENTER,100062,FL,READM-30-PN-HRRP,1099.0,,0.9776,17.7,18.1,193.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,100070,FL,READM-30-HF-HRRP,769.0,,0.8495,18.5,21.8,133.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYFRONT HEALTH BROOKSVILLE,100071,FL,READM-30-HIP-KNEE-HRRP,,,0.901,4.8,5.3,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ST JOSEPHS HOSPITAL,100075,FL,READM-30-HIP-KNEE-HRRP,358.0,,1.2223,6.5,5.3,27.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYFRONT HEALTH PORT CHARLOTTE,100077,FL,READM-30-HF-HRRP,621.0,,1.1022,25.5,23.1,164.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYFRONT HEALTH PORT CHARLOTTE,100077,FL,READM-30-HIP-KNEE-HRRP,446.0,,1.0038,5.6,5.6,25.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYFRONT HEALTH PORT CHARLOTTE,100077,FL,READM-30-PN-HRRP,490.0,,1.1203,20.3,18.1,107.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JFK MEDICAL CENTER,100080,FL,READM-30-PN-HRRP,674.0,,1.057,17.9,16.9,124.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HEALTHMARK REGIONAL MEDICAL CENTER,100081,FL,READM-30-COPD-HRRP,92.0,,1.0308,21.6,20.9,22.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HEALTHMARK REGIONAL MEDICAL CENTER,100081,FL,READM-30-PN-HRRP,101.0,,1.071,20.2,18.8,25.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LEESBURG REGIONAL MEDICAL CENTER,100084,FL,READM-30-PN-HRRP,633.0,,0.9906,18.4,18.6,116.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BROWARD HEALTH NORTH,100086,FL,READM-30-HF-HRRP,259.0,,1.1151,24.9,22.3,71.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SARASOTA MEMORIAL HOSPITAL,100087,FL,READM-30-COPD-HRRP,691.0,,0.8547,17.6,20.6,111.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAPTIST MEDICAL CENTER JACKSONVILLE,100088,FL,READM-30-AMI-HRRP,518.0,,0.9923,15.9,16.0,82.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FLAGLER HOSPITAL,100090,FL,READM-30-AMI-HRRP,366.0,,0.9775,16.7,17.1,60.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FLAGLER HOSPITAL,100090,FL,READM-30-HF-HRRP,692.0,,1.0316,23.7,23.0,166.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FLAGLER HOSPITAL,100090,FL,READM-30-PN-HRRP,716.0,,0.9282,16.9,18.2,116.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
INDIAN RIVER MEDICAL CENTER,100105,FL,READM-30-AMI-HRRP,522.0,,0.873,14.1,16.2,67.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LEHIGH REGIONAL MEDICAL CENTER,100107,FL,READM-30-HF-HRRP,188.0,,1.1009,24.1,21.9,51.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
UF HEALTH SHANDS HOSPITAL,100113,FL,READM-30-PN-HRRP,379.0,,1.0491,18.7,17.8,74.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAPTIST MEDICAL CENTER - BEACHES,100117,FL,READM-30-COPD-HRRP,333.0,,1.0848,20.2,18.6,73.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FLORIDA HOSPITAL FLAGLER,100118,FL,READM-30-COPD-HRRP,299.0,,0.9697,18.8,19.4,54.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FLORIDA HOSPITAL FLAGLER,100118,FL,READM-30-HIP-KNEE-HRRP,353.0,,0.9063,4.8,5.2,15.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NORTH OKALOOSA MEDICAL CENTER,100122,FL,READM-30-HF-HRRP,383.0,,1.0312,24.6,23.8,96.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-COPD-HRRP,280.0,,0.9616,17.7,18.4,47.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-HF-HRRP,232.0,,1.0045,21.0,20.9,49.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PALMS OF PASADENA HOSPITAL,100126,FL,READM-30-PN-HRRP,355.0,,1.0691,17.6,16.5,67.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TALLAHASSEE MEMORIAL HOSPITAL,100135,FL,READM-30-COPD-HRRP,318.0,,1.0155,18.5,18.3,60.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HEART OF FLORIDA REGIONAL MEDICAL CENTER,100137,FL,READM-30-HIP-KNEE-HRRP,758.0,,0.7488,3.4,4.6,21.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAPTIST MEDICAL CENTER - NASSAU,100140,FL,READM-30-PN-HRRP,251.0,,0.9557,15.1,15.8,35.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JACKSON HOSPITAL,100142,FL,READM-30-HF-HRRP,184.0,,1.0132,21.3,21.0,40.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-AMI-HRRP,612.0,,1.1518,18.4,16.0,120.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-COPD-HRRP,1218.0,,1.0828,21.9,20.3,273.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LAKELAND REGIONAL MEDICAL CENTER,100157,FL,READM-30-PN-HRRP,893.0,,1.1176,17.9,16.0,167.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,READM-30-COPD-HRRP,323.0,,0.9727,19.2,19.7,60.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAKERSFIELD HEART HOSPITAL,50724,CA,READM-30-AMI-HRRP,256.0,,0.9876,16.3,16.5,41.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAKERSFIELD HEART HOSPITAL,50724,CA,READM-30-PN-HRRP,246.0,,1.0,18.7,18.7,46.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CHAPMAN GLOBAL MEDICAL CENTER,50745,CA,READM-30-HF-HRRP,,,0.9353,17.9,19.1,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ALVARADO HOSPITAL MEDICAL CENTER,50757,CA,READM-30-PN-HRRP,240.0,,1.0237,19.7,19.3,49.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MONTCLAIR HOSPITAL MEDICAL CENTER,50758,CA,READM-30-PN-HRRP,,,0.9067,17.6,19.4,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SILVER LAKE MEDICAL CENTER,50763,CA,READM-30-HF-HRRP,58.0,,1.0199,23.8,23.3,15.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,50770,CA,READM-30-PN-HRRP,184.0,,0.9807,14.8,15.1,26.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SAINT VINCENT MEDICAL CENTER,50502,CA,READM-30-HF-HRRP,412.0,,1.0779,24.4,22.6,105.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SIERRA VISTA REGIONAL MEDICAL CENTER,50506,CA,READM-30-HF-HRRP,98.0,,0.9359,17.0,18.2,13.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HUNTINGTON BEACH HOSPITAL,50526,CA,READM-30-AMI-HRRP,,,1.0103,20.1,19.9,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HUNTINGTON BEACH HOSPITAL,50526,CA,READM-30-HF-HRRP,123.0,,1.1051,26.7,24.1,39.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JOHN F KENNEDY MEMORIAL HOSPITAL,50534,CA,READM-30-HF-HRRP,125.0,,0.9653,21.7,22.4,25.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SUTTER DAVIS HOSPITAL,50537,CA,READM-30-PN-HRRP,,,0.9764,17.1,17.5,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MEASE DUNEDIN HOSPITAL,100043,FL,READM-30-PN-HRRP,176.0,,0.8914,15.0,16.9,19.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GRIFFIN HOSPITAL,70031,CT,READM-30-HF-HRRP,320.0,,1.1056,23.5,21.2,81.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"HOSPITAL OF CENTRAL CONNECTICUT, THE",70035,CT,READM-30-HIP-KNEE-HRRP,411.0,,1.1914,6.5,5.5,30.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"CHRISTIANA CARE HEALTH SERVICES, INC.",80001,DE,READM-30-COPD-HRRP,1754.0,,0.943,19.6,20.8,340.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"CHRISTIANA CARE HEALTH SERVICES, INC.",80001,DE,READM-30-HF-HRRP,2590.0,,0.9419,20.6,21.9,530.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"CHRISTIANA CARE HEALTH SERVICES, INC.",80001,DE,READM-30-HIP-KNEE-HRRP,2520.0,,0.9728,4.8,4.9,120.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NANTICOKE MEMORIAL HOSPITAL,80006,DE,READM-30-AMI-HRRP,124.0,,0.9429,16.2,17.2,17.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GEORGE WASHINGTON UNIV HOSPITAL,90001,DC,READM-30-PN-HRRP,205.0,,1.0759,17.6,16.4,41.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOWARD UNIVERSITY HOSPITAL,90003,DC,READM-30-PN-HRRP,69.0,,1.0812,17.2,15.9,17.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,90004,DC,READM-30-COPD-HRRP,116.0,,1.0542,22.6,21.4,30.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PROVIDENCE HOSPITAL,90006,DC,READM-30-AMI-HRRP,63.0,,1.0345,19.4,18.7,14.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
UF HEALTH JACKSONVILLE,100001,FL,READM-30-COPD-HRRP,320.0,,1.0349,23.0,22.2,76.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
UF HEALTH JACKSONVILLE,100001,FL,READM-30-PN-HRRP,145.0,,1.0751,19.4,18.0,33.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ORLANDO HEALTH,100006,FL,READM-30-COPD-HRRP,831.0,,0.9563,19.3,20.1,157.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ORLANDO HEALTH,100006,FL,READM-30-PN-HRRP,876.0,,0.9605,17.1,17.8,147.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FLORIDA HOSPITAL,100007,FL,READM-30-AMI-HRRP,925.0,,1.157,19.4,16.8,187.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAPTIST HOSPITAL OF MIAMI,100008,FL,READM-30-PN-HRRP,615.0,,1.0017,17.7,17.7,109.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
UNIVERSITY OF MIAMI HOSPITAL,100009,FL,READM-30-HIP-KNEE-HRRP,,,1.0205,5.9,5.8,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LEE MEMORIAL HOSPITAL,100012,FL,READM-30-COPD-HRRP,1184.0,,1.0878,21.0,19.3,254.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NAPLES COMMUNITY HOSPITAL,100018,FL,READM-30-HF-HRRP,1684.0,,0.9026,19.4,21.4,320.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NAPLES COMMUNITY HOSPITAL,100018,FL,READM-30-HIP-KNEE-HRRP,2709.0,,1.0161,5.1,5.0,139.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JACKSON MEMORIAL HOSPITAL,100022,FL,READM-30-HF-HRRP,516.0,,1.1239,26.3,23.4,143.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JACKSON MEMORIAL HOSPITAL,100022,FL,READM-30-PN-HRRP,289.0,,1.1295,21.3,18.9,70.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CITRUS MEMORIAL HOSPITAL,100023,FL,READM-30-COPD-HRRP,779.0,,0.8776,16.3,18.5,118.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NORTH SHORE MEDICAL CENTER,100029,FL,READM-30-AMI-HRRP,174.0,,0.9611,19.6,20.4,32.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYFRONT HEALTH - ST PETERSBURG,100032,FL,READM-30-HF-HRRP,285.0,,0.8965,20.5,22.9,52.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MOUNT SINAI MEDICAL CENTER,100034,FL,READM-30-PN-HRRP,568.0,,1.0023,18.6,18.6,106.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MANATEE MEMORIAL HOSPITAL,100035,FL,READM-30-COPD-HRRP,605.0,,0.9925,19.9,20.1,120.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MANATEE MEMORIAL HOSPITAL,100035,FL,READM-30-HF-HRRP,649.0,,0.8724,18.1,20.8,110.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BRANDON REGIONAL HOSPITAL,100243,FL,READM-30-AMI-HRRP,422.0,,1.0044,16.8,16.7,71.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BRANDON REGIONAL HOSPITAL,100243,FL,READM-30-HF-HRRP,600.0,,1.07,24.3,22.7,150.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BRANDON REGIONAL HOSPITAL,100243,FL,READM-30-HIP-KNEE-HRRP,201.0,,1.0624,5.4,5.1,12.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CAPE CORAL HOSPITAL,100244,FL,READM-30-COPD-HRRP,863.0,,1.0154,19.3,19.1,168.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CAPE CORAL HOSPITAL,100244,FL,READM-30-PN-HRRP,583.0,,1.0687,17.4,16.3,106.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JUPITER MEDICAL CENTER,100253,FL,READM-30-COPD-HRRP,480.0,,1.0303,21.4,20.8,105.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JUPITER MEDICAL CENTER,100253,FL,READM-30-HIP-KNEE-HRRP,714.0,,1.1279,6.0,5.3,45.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TAMPA COMMUNITY HOSPITAL,100255,FL,READM-30-PN-HRRP,75.0,,1.0004,17.3,17.3,13.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
REGIONAL MEDICAL CENTER BAYONET POINT,100256,FL,READM-30-COPD-HRRP,575.0,,1.0853,21.1,19.4,127.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
OAK HILL HOSPITAL,100264,FL,READM-30-HIP-KNEE-HRRP,418.0,,1.1044,6.5,5.9,29.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GULF BREEZE HOSPITAL,100266,FL,READM-30-COPD-HRRP,186.0,,0.9549,18.9,19.8,32.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WEST BOCA MEDICAL CENTER,100268,FL,READM-30-COPD-HRRP,153.0,,0.976,18.7,19.2,27.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PALMS WEST HOSPITAL,100269,FL,READM-30-HF-HRRP,286.0,,1.0804,23.6,21.8,72.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BROWARD HEALTH CORAL SPRINGS,100276,FL,READM-30-HF-HRRP,177.0,,1.0589,22.9,21.7,44.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GOOD SAMARITAN MEDICAL CENTER,100287,FL,READM-30-COPD-HRRP,195.0,,0.9911,20.8,21.0,40.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GOOD SAMARITAN MEDICAL CENTER,100287,FL,READM-30-HIP-KNEE-HRRP,,,0.9428,4.9,5.2,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CLEVELAND CLINIC HOSPITAL,100289,FL,READM-30-AMI-HRRP,83.0,,0.9987,15.7,15.8,13.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CLEVELAND CLINIC HOSPITAL,100289,FL,READM-30-HIP-KNEE-HRRP,469.0,,1.0316,5.2,5.1,25.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WUESTHOFF MEDICAL CENTER-MELBOURNE,100291,FL,READM-30-AMI-HRRP,52.0,,1.0307,18.1,17.6,11.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SACRED HEART HOSPITAL ON THE EMERALD COAST,100292,FL,READM-30-COPD-HRRP,189.0,,0.9635,19.9,20.7,35.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LAKEWOOD RANCH MEDICAL CENTER,100299,FL,READM-30-COPD-HRRP,176.0,,1.0486,19.7,18.8,38.0,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
